Date,CPER,ECH,EMB,GLD,IWM,QQQ,SPY,TLT
2015-01-23,16.90999984741211,27.684356689453125,63.87401580810547,124.2300033569336,101.84474182128906,95.7737274169922,169.30792236328125,97.3147201538086
2015-01-26,17.059999465942383,27.66315460205078,63.2790412902832,122.98999786376952,102.82767486572266,95.66344451904295,169.70436096191406,97.0186767578125
2015-01-27,16.729999542236328,27.72675895690918,63.73097610473633,124.4000015258789,102.336181640625,93.1832504272461,167.4658203125,97.1703643798828
2015-01-28,16.75,27.528867721557617,63.79389190673828,123.41999816894533,100.61176300048828,92.70555877685548,165.31825256347656,98.75888061523438
2015-01-29,16.68000030517578,27.42992210388184,63.87969970703125,120.76000213623048,101.99993896484376,93.59660339355467,166.8463592529297,98.10901641845705
2015-01-30,16.68000030517578,26.935176849365234,63.9369010925293,123.4499969482422,99.75817108154295,92.87092590332033,164.7483367919922,99.84921264648438
2015-02-02,17.175000190734863,27.514738082885746,63.99944305419922,122.41999816894533,100.67212677001952,93.67928314208984,166.78857421875,99.47224426269533
2015-02-03,17.34000015258789,28.00947570800781,64.34388732910156,121.0500030517578,102.47415924072266,94.5795440673828,169.20046997070312,97.36677551269533
2015-02-04,17.34000015258789,27.896392822265625,63.80432891845703,121.58000183105467,102.0947723388672,94.4968490600586,168.55621337890625,97.53314971923828
2015-02-05,17.56999969482422,28.278051376342773,64.14300537109375,121.79000091552734,103.41397094726562,95.3144073486328,170.25782775878906,96.46237182617188
2015-02-06,17.420000076293945,28.05895233154297,63.976524353027344,118.63999938964844,103.30187225341795,94.73567962646484,169.7869873046875,94.7547836303711
2015-02-09,17.520000457763672,28.186168670654297,64.01099395751953,119.16999816894533,102.48275756835938,94.43253326416016,169.02706909179688,94.60284423828124
2015-02-10,17.290000915527344,28.09428977966309,63.546016693115234,118.47000122070312,103.13806915283205,95.90231323242188,170.8278045654297,93.85035705566406
2015-02-11,17.360000610351562,27.87518310546875,63.48860168457031,117.06999969482422,102.991455078125,96.25138092041016,170.9269256591797,94.02401733398438
2015-02-12,17.700000762939453,28.638507843017575,63.99373626708984,117.33999633789062,104.16407775878906,97.37207794189452,172.57064819335938,93.71290588378906
2015-02-13,17.700000762939453,28.99189758300781,64.14873504638672,117.9800033569336,104.78489685058594,98.20799255371094,173.281005859375,92.75057983398438
2015-02-17,17.299999237060547,28.76572608947754,64.03965759277344,116.01000213623048,105.11256408691406,98.29988098144533,173.5535888671875,91.3541488647461
2015-02-18,17.6200008392334,28.91415405273437,64.0167236328125,116.33999633789062,105.2246322631836,98.43765258789062,173.570068359375,91.89678192138672
2015-02-19,17.65999984741211,28.9565544128418,63.827239990234375,115.94000244140624,105.23323822021484,98.92452239990234,173.4462127685547,91.2890625
2015-02-20,17.540000915527344,29.15445327758789,64.00524139404297,115.27999877929688,105.5177764892578,99.5859146118164,174.48699951171875,91.55675506591795
2015-02-23,17.450000762939453,28.998958587646484,63.91910171508789,115.43000030517578,105.62122344970705,99.68695831298828,174.46218872070312,92.60588073730467
2015-02-24,17.450000762939453,28.94948387145996,64.21758270263672,115.26000213623048,105.75918579101562,99.76042938232422,174.95787048339844,93.82141876220705
2015-02-25,17.979999542236328,29.006027221679688,64.51033020019531,115.6999969482422,105.87991333007812,99.5124282836914,174.80911254882812,94.22657775878906
2015-02-26,18.559999465942383,28.92121696472168,64.4415283203125,116.06999969482422,106.26789855957033,100.0176773071289,174.60260009765625,92.938720703125
2015-02-27,17.979999542236328,29.196861267089844,64.55052947998047,116.16000366210938,105.69024658203124,99.57672119140624,174.0079345703125,93.7201156616211
